name,address,city,state,zipcode,lat,lon
JC Element,"365 Central Ave, Jersey City, NJ 07307",Jersey City,NJ,07307,40.74765,-74.048409
Jersey Dispensary,"638 Communipaw Ave, Jersey City, NJ 07304",Jersey City,NJ,07304,40.7183,-74.074356
Jersey Leaf,"554 West Side Ave, Jersey City, NJ 07304",Jersey City,NJ,07304,40.719777,-74.082017
Jersey Meds,"7 NJ-31, Pennington, NJ 08534",Pennington,NJ,08534,40.325821,-74.79933
Jersey Roots,"1433 Union Valley Rd, West Milford, NJ 07480",West Milford,NJ,07480,41.127854,-74.373206
Jester's Joint,"70 Easton Ave, New Brunswick, NJ 08901",New Brunswick,NJ,08901,40.497998,-74.449836
Joy Leaf,"711 E 1st Ave, Roselle Park, NJ 07204",Roselle Park,NJ,07204,40.662973,-74.246375
Kind Kush,"279 US-46, Rockaway, NJ 07866",Rockaway,NJ,07866,40.891118,-74.515001
Kine Buds Maywood,"113 E Passaic St, Maywood, NJ 07607",Maywood,NJ,07607,40.862252,-74.112637
La Vida Gardens,"523 Washington Ave, Belleville, NJ 07109",Belleville,NJ,07109,40.798628,-74.148201
Lady L Cannabis,"547 West Side Ave, Jersey City, NJ 07304",Jersey City,NJ,07304,40.719532,-74.082734
Leaf Haus,"900 Easton Ave, Somerset, NJ 08873",Somerset,NJ,08873,40.510412,-74.485441
Leaf Joint,"391 Central Ave, Jersey City, NJ 07307",Jersey City,NJ,07307,40.748233,-74.048117
Legacy to Lifted,"490 West Side Ave, Jersey City, NJ 07304",Jersey City,NJ,07304,40.717672,-74.084113
Legal Distribution,"3112 Atlantic Ave, Atlantic City, NJ 08401",Atlantic City,NJ,08401,39.353238,-74.449352
Lemon 22,"2006 US-22, Scotch Plains, NJ 07076",Scotch Plains,NJ,07076,40.656929,-74.399648
Loud House,"112 N 3rd St, Camden, NJ 08102",Camden,NJ,08102,39.946299,-75.123596
Mad Hatter Dispensary,"845 US-1, Avenel, NJ 07001",Avenel,NJ,07001,40.581154,-74.284466
Main Street Dispensary,"311 Raritan Ave, Highland Park, NJ 08904",Highland Park,NJ,08904,40.499456,-74.427419
Mass Grown,"34 Mill St, Mt Holly, NJ 08060",Mt Holly,NJ,08060,39.993024,-74.786688
Med Leaf,"201 Philadelphia Ave, Egg Harbor City, NJ 08215",Egg Harbor City,NJ,08215,39.530417,-74.646239
Midnight Greens,"5100 NJ-42, Blackwood, NJ 08012",Blackwood,NJ,08012,39.751258,-75.045353
Milligrams,"813 E Gate Dr, Mt Laurel Township, NJ 08054",Mt Laurel Township,NJ,08054,39.942432,-74.952422
MindLift Dispensary,"517 Park Ave, Plainfield, NJ 07060",Plainfield,NJ,07060,40.616052,-74.418665
MMD NJ,"655 Newark Ave, Jersey City, NJ 07306",Jersey City,NJ,07306,40.734046,-74.058892
Moja Life,"28 S Warren St, Trenton, NJ 08608",Trenton,NJ,08608,40.219499,-74.765774
Molly Ann Farms,"256 Belmont Ave, Haledon, NJ 07508",Haledon,NJ,07508,40.931789,-74.183751
Mountain Dispensary,"46 NJ-94, Vernon Township, NJ 07462",Vernon Township,NJ,07462,41.174509,-74.545711
Mountain View Farmacy,"74 Oak Ridge Rd, Oak Ridge, NJ 07438",Oak Ridge,NJ,07438,41.051785,-74.463664
NAR Cannabis,"4004 Church Rd, Mt Laurel Township, NJ 08054",Mt Laurel Township,NJ,08054,39.925218,-74.962662
Natural Apothecary,"27 Washington Ave, Belleville, NJ 07109",Belleville,NJ,07109,40.782187,-74.154468
Natureâ€™s Motivation,"1095 Clinton Ave, Irvington, NJ 07111",Irvington,NJ,07111,40.726379,-74.227681
Nevaeh Verde Dispensary,"176 Belmont Ave, Belleville, NJ 07109",Belleville,NJ,07109,40.780007,-74.181486
New Era Dispensary,"80-88 Main St, South Bound Brook, NJ 08880",South Bound Brook,NJ,08880,40.569045,-74.614139
New Frontier Solutions,"473 E Broadway, Salem, NJ 08079",Salem,NJ,08079,39.561887,-75.454944
Nightjar,"549 Bloomfield Ave, Bloomfield, NJ 07003",Bloomfield,NJ,07003,40.792809,-74.197107
Nile of NJ,"5409 Bergenline Ave, West New York, NJ 07093",West New York,NJ,07093,40.785098,-74.019137
